epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1153.97,1.40414,2.63975,1.51471,0.28639,0.25868,0.21858,0.11041,1.43986,2.91091,1.64015,0.000552956,0.000552956,0.000552956
2,2294.45,1.56156,2.43514,1.63372,0.17599,0.25889,0.13338,0.06852,1.55275,2.69068,1.72135,0.00108667,0.00108667,0.00108667
3,4617.46,1.56945,2.42673,1.679,0.20552,0.3679,0.18709,0.09044,1.59363,2.92451,1.84591,0.00159838,0.00159838,0.00159838
4,5675.85,1.54935,2.34857,1.66747,0.23058,0.33197,0.19171,0.09884,1.60566,2.91949,1.82815,0.00156798,0.00156798,0.00156798
5,6739.94,1.54229,2.28313,1.66678,0.25429,0.3138,0.23918,0.1174,1.62669,2.63603,1.9067,0.00153497,0.00153497,0.00153497
6,7796.4,1.49881,2.24643,1.64349,0.34215,0.4371,0.34281,0.20133,1.37585,2.01055,1.60649,0.00150197,0.00150197,0.00150197
7,8846.15,1.47171,2.17745,1.61315,0.30058,0.48657,0.34746,0.20729,1.30641,2.03817,1.56972,0.00146896,0.00146896,0.00146896
8,9889.84,1.40272,2.05934,1.57361,0.40628,0.45925,0.41879,0.25606,1.30138,1.82963,1.53001,0.00143595,0.00143595,0.00143595
9,10971.1,1.41955,2.09049,1.57873,0.39512,0.46143,0.39969,0.24507,1.33891,1.96067,1.56528,0.00140295,0.00140295,0.00140295
10,12091.6,1.34856,2.036,1.54153,0.35544,0.50033,0.39694,0.25633,1.20435,1.7521,1.45478,0.00136994,0.00136994,0.00136994
11,13162,1.33909,1.96082,1.53403,0.34202,0.56501,0.47362,0.31273,1.1492,1.72646,1.4259,0.00133693,0.00133693,0.00133693
12,14279.3,1.3261,1.93156,1.52007,0.44559,0.5196,0.46904,0.31415,1.16611,1.69009,1.45425,0.00130393,0.00130393,0.00130393
13,15382.4,1.30555,1.88725,1.51423,0.50503,0.57811,0.55708,0.3675,1.11361,1.54424,1.41513,0.00127092,0.00127092,0.00127092
14,16448.3,1.26742,1.79607,1.47742,0.53043,0.59712,0.55186,0.37948,1.0763,1.56293,1.36497,0.00123791,0.00123791,0.00123791
15,17490.1,1.21071,1.78551,1.44455,0.5503,0.59556,0.5863,0.4034,1.10704,1.49385,1.38923,0.00120491,0.00120491,0.00120491
16,18544.5,1.23278,1.74602,1.47126,0.53985,0.59196,0.58958,0.40078,1.0528,1.41862,1.34954,0.0011719,0.0011719,0.0011719
17,19662,1.1987,1.75381,1.42548,0.55631,0.61874,0.60398,0.4246,1.03029,1.44857,1.31421,0.00113889,0.00113889,0.00113889
18,20798.1,1.20354,1.66062,1.44285,0.57185,0.61429,0.6162,0.4315,1.02684,1.40888,1.35161,0.00110589,0.00110589,0.00110589
19,21941.1,1.18037,1.70713,1.4331,0.57196,0.63306,0.63485,0.45991,0.99234,1.33689,1.28812,0.00107288,0.00107288,0.00107288
20,23071.2,1.20117,1.66257,1.43696,0.62205,0.67256,0.66771,0.48289,0.98338,1.2885,1.2923,0.00103987,0.00103987,0.00103987
21,24125.9,1.15339,1.56444,1.38665,0.67492,0.6478,0.69359,0.4992,0.97093,1.2704,1.29135,0.00100687,0.00100687,0.00100687
22,25176,1.14908,1.60925,1.41863,0.62756,0.6846,0.71514,0.52847,0.91887,1.20695,1.26205,0.000973861,0.000973861,0.000973861
23,26234.1,1.11746,1.50484,1.37037,0.68161,0.6974,0.7257,0.53726,0.92886,1.15031,1.25889,0.000940855,0.000940855,0.000940855
