epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.335,2.27451,2.84398,1.59286,0.21755,0.30894,0.17424,0.0805,2.39064,2.52701,1.79592,0.000552258,0.000552258,0.000552258
2,1261.48,1.85335,1.69072,1.30712,0.31137,0.2439,0.23397,0.10137,2.38218,2.58963,1.76844,0.00108599,0.00108599,0.00108599
3,1890.17,1.74889,1.46612,1.27888,0.38413,0.3252,0.27721,0.13366,2.19051,2.72764,1.59661,0.00159771,0.00159771,0.00159771
4,2534.27,1.69735,1.37595,1.24031,0.28052,0.21951,0.19378,0.0969,2.47259,3.20409,1.76346,0.00156798,0.00156798,0.00156798
5,3130.03,1.60855,1.22274,1.20609,0.44286,0.24559,0.26827,0.12238,2.37448,3.03782,1.68763,0.00153497,0.00153497,0.00153497
6,3724.04,1.56137,1.12083,1.1776,0.40225,0.34469,0.31409,0.13907,2.46363,2.54068,1.7682,0.00150197,0.00150197,0.00150197
7,4324.17,1.52578,1.04728,1.15825,0.47872,0.21951,0.25593,0.12506,2.34084,3.08073,1.74276,0.00146896,0.00146896,0.00146896
8,4922.25,1.4878,0.98858,1.13391,0.33066,0.25203,0.26821,0.12989,2.44994,3.06564,1.6691,0.00143595,0.00143595,0.00143595
9,5530.38,1.507,0.98782,1.15007,0.61859,0.22764,0.28997,0.13754,2.34151,2.6801,1.64644,0.00140295,0.00140295,0.00140295
10,6140.22,1.46194,0.94846,1.12429,0.51006,0.25203,0.24853,0.13048,2.27749,3.14264,1.62754,0.00136994,0.00136994,0.00136994
11,6751.9,1.39753,0.88772,1.11149,0.607,0.22764,0.29462,0.1639,2.33237,2.73134,1.64931,0.00133693,0.00133693,0.00133693
12,7389.35,1.37699,0.85543,1.09057,0.46414,0.31707,0.32781,0.17594,2.27063,2.71171,1.65589,0.00130393,0.00130393,0.00130393
13,8049.28,1.36022,0.81713,1.09232,0.52207,0.33333,0.3573,0.17055,2.34797,2.63981,1.71799,0.00127092,0.00127092,0.00127092
14,8702.06,1.39839,0.83869,1.10993,0.53407,0.26829,0.27079,0.14681,2.51194,3.19404,1.76891,0.00123791,0.00123791,0.00123791
15,9339.06,1.35064,0.79635,1.09364,0.62791,0.25203,0.322,0.16183,2.3854,2.88309,1.70771,0.00120491,0.00120491,0.00120491
16,9966.63,1.33428,0.78654,1.08318,0.49914,0.35651,0.36383,0.1797,2.27232,3.06917,1.60936,0.0011719,0.0011719,0.0011719
17,10583,1.34504,0.78044,1.08266,0.8752,0.26016,0.32751,0.17821,2.38639,3.55237,1.61999,0.00113889,0.00113889,0.00113889
18,11182.6,1.3151,0.74068,1.06845,0.90724,0.21138,0.31692,0.18091,2.15113,3.19924,1.53552,0.00110589,0.00110589,0.00110589
19,11782,1.28693,0.72697,1.06319,0.43627,0.30081,0.31917,0.17452,2.1006,3.25139,1.49532,0.00107288,0.00107288,0.00107288
20,12382.8,1.2858,0.72465,1.06596,0.57353,0.27642,0.3157,0.17423,2.3048,2.88006,1.68504,0.00103987,0.00103987,0.00103987
21,12981.8,1.24661,0.73877,1.05501,0.50613,0.28455,0.32138,0.16528,2.44125,3.19555,1.78885,0.00100687,0.00100687,0.00100687
22,13587.5,1.25186,0.70687,1.04704,0.5071,0.3252,0.35661,0.1855,2.35761,2.82361,1.69688,0.000973861,0.000973861,0.000973861
23,14187.4,1.24576,0.68515,1.0607,0.54998,0.29268,0.33943,0.17971,2.39673,3.22172,1.71673,0.000940855,0.000940855,0.000940855
24,14796.2,1.23186,0.67557,1.04487,0.4921,0.3252,0.33415,0.18013,2.3356,2.96708,1.66032,0.000907848,0.000907848,0.000907848
25,15404.1,1.18314,0.63946,1.01905,0.66563,0.21138,0.28337,0.1613,2.13128,3.7317,1.56179,0.000874842,0.000874842,0.000874842
26,16056,1.20214,0.65106,1.02395,0.49839,0.23577,0.2655,0.15246,2.235,3.7414,1.58592,0.000841835,0.000841835,0.000841835
27,16758.4,1.20467,0.64071,1.0224,0.71719,0.22681,0.29713,0.15138,2.33653,3.37994,1.68253,0.000808828,0.000808828,0.000808828
28,17375.6,1.16045,0.63484,1.01249,0.61064,0.23577,0.28521,0.16356,2.1653,3.56806,1.61805,0.000775822,0.000775822,0.000775822
29,17989.3,1.16552,0.64574,1.01112,0.50461,0.2439,0.26637,0.15967,2.33394,3.88599,1.71755,0.000742815,0.000742815,0.000742815
30,18601.3,1.16741,0.63326,1.01626,0.57794,0.26016,0.31464,0.1729,2.18575,3.49031,1.57519,0.000709809,0.000709809,0.000709809
31,19210.7,1.14177,0.61538,1.00189,0.87697,0.21951,0.33929,0.18341,2.23472,3.45138,1.59808,0.000676802,0.000676802,0.000676802
32,19821.9,1.14047,0.6078,1.00523,0.43588,0.34552,0.36104,0.20681,2.19171,3.00803,1.58458,0.000643795,0.000643795,0.000643795
33,20436.6,1.09342,0.59208,0.99046,0.54733,0.25203,0.32127,0.19485,2.18842,3.62138,1.60096,0.000610789,0.000610789,0.000610789
34,21043.2,1.1122,0.60459,0.98558,0.5936,0.26829,0.29624,0.17179,2.26184,3.49032,1.614,0.000577782,0.000577782,0.000577782
35,21642.8,1.12411,0.60179,0.97827,0.67943,0.26829,0.35431,0.20865,2.15709,3.13056,1.58679,0.000544776,0.000544776,0.000544776
36,22244.6,1.09611,0.58041,0.97601,0.92719,0.22764,0.29388,0.17018,2.15129,3.57859,1.5782,0.000511769,0.000511769,0.000511769
37,22843.5,1.07195,0.57648,0.96505,0.54842,0.26829,0.32604,0.17537,2.2601,3.36039,1.62396,0.000478762,0.000478762,0.000478762
38,23459.3,1.09051,0.57564,0.97902,0.47601,0.3252,0.35467,0.19247,2.23293,3.2551,1.66916,0.000445756,0.000445756,0.000445756
39,24101.4,1.08015,0.56505,0.9898,0.76268,0.25203,0.32941,0.18747,2.2444,3.5781,1.70156,0.000412749,0.000412749,0.000412749
40,24725.4,1.05944,0.55812,0.96258,0.64394,0.26829,0.33697,0.19208,2.28764,3.37635,1.68043,0.000379743,0.000379743,0.000379743
41,25343.5,1.03783,0.52488,0.97633,0.85103,0.21951,0.32284,0.18177,2.24572,3.47653,1.66245,0.000346736,0.000346736,0.000346736
42,25949.7,1.01355,0.51622,0.95721,0.55788,0.25203,0.31067,0.18922,2.22187,3.27985,1.62582,0.000313729,0.000313729,0.000313729
43,26620.7,1.00636,0.50348,0.96264,0.58114,0.26829,0.31445,0.17506,2.29276,3.48929,1.63607,0.000280723,0.000280723,0.000280723
44,27252.4,1.00719,0.5084,0.96805,0.59145,0.27642,0.31772,0.17946,2.31745,3.39791,1.65919,0.000247716,0.000247716,0.000247716
45,27864.6,0.97987,0.4749,0.94955,0.63185,0.25203,0.31471,0.18394,2.33714,3.91617,1.74406,0.00021471,0.00021471,0.00021471
46,28493.1,0.96282,0.4836,0.95933,0.6887,0.25203,0.31837,0.18423,2.27557,3.60972,1.71681,0.000181703,0.000181703,0.000181703
47,29137,0.95311,0.47951,0.94512,0.56367,0.25203,0.32761,0.1937,2.25006,3.95452,1.65585,0.000148696,0.000148696,0.000148696
48,29776.9,0.96087,0.47802,0.94868,0.59618,0.25203,0.33155,0.19185,2.25851,3.79948,1.67326,0.00011569,0.00011569,0.00011569
49,30410.8,0.95606,0.46942,0.93443,0.72326,0.23377,0.32279,0.18661,2.24739,3.8238,1.64942,8.26832e-05,8.26832e-05,8.26832e-05
50,31035.8,0.95632,0.47061,0.94806,0.82204,0.22538,0.33153,0.19567,2.23642,3.89194,1.63595,4.96766e-05,4.96766e-05,4.96766e-05
